months,race,contrabn,stops,month_tot,race_prop
2009-05-01,B,0,25956,25956.0,1.0
2009-05-01,H,0,15285,15414.0,0.9916309848189957
2009-05-01,H,1,129,15414.0,0.008369015181004281
2009-05-01,W,0,4697,4859.0,0.9666598065445565
2009-05-01,W,1,162,4859.0,0.033340193455443506
2009-06-01,A,0,1309,1309.0,1.0
2009-06-01,B,0,20606,21486.0,0.9590430978311458
2009-06-01,B,1,880,21486.0,0.040956902168854135
2009-06-01,H,0,12362,12560.0,0.984235668789809
2009-06-01,H,1,198,12560.0,0.015764331210191083
2009-06-01,W,0,4379,4379.0,1.0
2009-07-01,A,0,1135,1190.0,0.9537815126050421
2009-07-01,A,1,55,1190.0,0.046218487394957986
2009-07-01,B,0,24836,24836.0,1.0
2009-07-01,H,0,13196,13196.0,1.0
2009-07-01,W,0,4179,4322.0,0.9669134659879686
2009-07-01,W,1,143,4322.0,0.03308653401203147
2009-08-01,A,0,1084,1084.0,1.0
2009-08-01,B,0,25979,26823.0,0.9685344666890355
2009-08-01,B,1,844,26823.0,0.03146553331096447
2009-08-01,H,0,13014,13661.0,0.952638899055706
2009-08-01,H,1,647,13661.0,0.04736110094429397
2009-08-01,W,0,3949,4038.0,0.9779593858345715
2009-08-01,W,1,89,4038.0,0.02204061416542843
2009-09-01,A,0,1086,1170.0,0.9282051282051282
2009-09-01,A,1,84,1170.0,0.07179487179487179
2009-09-01,B,0,25219,25857.0,0.9753258305294504
2009-09-01,B,1,638,25857.0,0.02467416947054956
2009-09-01,H,0,14072,14309.0,0.9834369976937591
2009-09-01,H,1,237,14309.0,0.016563002306240828
2009-09-01,W,0,4079,4079.0,1.0
2009-10-01,A,0,1488,1523.0,0.9770190413657256
2009-10-01,A,1,35,1523.0,0.02298095863427446
2009-10-01,B,0,26701,26701.0,1.0
2009-10-01,H,0,15171,15228.0,0.9962568951930654
2009-10-01,H,1,57,15228.0,0.0037431048069345944
2009-10-01,W,0,4306,4306.0,1.0
2009-11-01,A,0,1375,1375.0,1.0
